       Step     Time          Energy         fmax
MDMin:    0 11:58:29        0.292228           nan
MDMin:    1 11:58:29             nan           nan
MDMin:    2 11:58:29             nan           nan
MDMin:    3 11:58:29             nan           nan
MDMin:    4 11:58:29             nan           nan
MDMin:    5 11:58:30             nan           nan
MDMin:    6 11:58:30             nan           nan
MDMin:    7 11:58:30             nan           nan
MDMin:    8 11:58:30             nan           nan
MDMin:    9 11:58:30             nan           nan
MDMin:   10 11:58:30             nan           nan
MDMin:   11 11:58:30             nan           nan
MDMin:   12 11:58:30             nan           nan
MDMin:   13 11:58:30             nan           nan
MDMin:   14 11:58:30             nan           nan
MDMin:   15 11:58:30             nan           nan
MDMin:   16 11:58:30             nan           nan
MDMin:   17 11:58:30             nan           nan
MDMin:   18 11:58:30             nan           nan
MDMin:   19 11:58:30             nan           nan
MDMin:   20 11:58:30             nan           nan
MDMin:   21 11:58:30             nan           nan
MDMin:   22 11:58:30             nan           nan
MDMin:   23 11:58:30             nan           nan
MDMin:   24 11:58:30             nan           nan
MDMin:   25 11:58:30             nan           nan
MDMin:   26 11:58:30             nan           nan
MDMin:   27 11:58:30             nan           nan
MDMin:   28 11:58:30             nan           nan
MDMin:   29 11:58:30             nan           nan
MDMin:   30 11:58:30             nan           nan
MDMin:   31 11:58:30             nan           nan
MDMin:   32 11:58:30             nan           nan
MDMin:   33 11:58:30             nan           nan
MDMin:   34 11:58:30             nan           nan
MDMin:   35 11:58:30             nan           nan
MDMin:   36 11:58:30             nan           nan
MDMin:   37 11:58:30             nan           nan
MDMin:   38 11:58:30             nan           nan
MDMin:   39 11:58:30             nan           nan
MDMin:   40 11:58:30             nan           nan
MDMin:   41 11:58:30             nan           nan
MDMin:   42 11:58:31             nan           nan
MDMin:   43 11:58:31             nan           nan
MDMin:   44 11:58:31             nan           nan
MDMin:   45 11:58:31             nan           nan
MDMin:   46 11:58:31             nan           nan
MDMin:   47 11:58:31             nan           nan
MDMin:   48 11:58:31             nan           nan
MDMin:   49 11:58:31             nan           nan
MDMin:   50 11:58:31             nan           nan
MDMin:   51 11:58:31             nan           nan
MDMin:   52 11:58:31             nan           nan
MDMin:   53 11:58:31             nan           nan
MDMin:   54 11:58:31             nan           nan
MDMin:   55 11:58:31             nan           nan
MDMin:   56 11:58:31             nan           nan
MDMin:   57 11:58:31             nan           nan
MDMin:   58 11:58:31             nan           nan
MDMin:   59 11:58:31             nan           nan
MDMin:   60 11:58:31             nan           nan
MDMin:   61 11:58:31             nan           nan
MDMin:   62 11:58:31             nan           nan
MDMin:   63 11:58:31             nan           nan
MDMin:   64 11:58:31             nan           nan
MDMin:   65 11:58:31             nan           nan
MDMin:   66 11:58:31             nan           nan
MDMin:   67 11:58:31             nan           nan
MDMin:   68 11:58:31             nan           nan
MDMin:   69 11:58:31             nan           nan
MDMin:   70 11:58:31             nan           nan
MDMin:   71 11:58:31             nan           nan
MDMin:   72 11:58:31             nan           nan
MDMin:   73 11:58:31             nan           nan
MDMin:   74 11:58:31             nan           nan
MDMin:   75 11:58:31             nan           nan
MDMin:   76 11:58:31             nan           nan
MDMin:   77 11:58:31             nan           nan
MDMin:   78 11:58:31             nan           nan
MDMin:   79 11:58:32             nan           nan
MDMin:   80 11:58:32             nan           nan
MDMin:   81 11:58:32             nan           nan
MDMin:   82 11:58:32             nan           nan
MDMin:   83 11:58:32             nan           nan
MDMin:   84 11:58:32             nan           nan
MDMin:   85 11:58:32             nan           nan
MDMin:   86 11:58:32             nan           nan
MDMin:   87 11:58:32             nan           nan
MDMin:   88 11:58:32             nan           nan
MDMin:   89 11:58:32             nan           nan
MDMin:   90 11:58:32             nan           nan
MDMin:   91 11:58:32             nan           nan
MDMin:   92 11:58:32             nan           nan
MDMin:   93 11:58:32             nan           nan
MDMin:   94 11:58:32             nan           nan
MDMin:   95 11:58:32             nan           nan
MDMin:   96 11:58:32             nan           nan
MDMin:   97 11:58:32             nan           nan
MDMin:   98 11:58:32             nan           nan
MDMin:   99 11:58:32             nan           nan
MDMin:  100 11:58:32             nan           nan
