MinModeTranslate: STEP      TIME          ENERGY    MAX-FORCE     STEPSIZE    CURVATURE  ROT-STEPS
MinModeTranslate:    0  16:50:22        4.554141       0.7782     --------     5.462850          1
MinModeTranslate:    0  16:50:22        4.554141       0.7782     0.100000     5.462850          1
MinModeTranslate:    1  16:50:22        4.654587       1.1899     --------     2.648885          1
MinModeTranslate:    1  16:50:22        4.654587       1.1899     0.100000     2.648885          1
MinModeTranslate:    2  16:50:22        4.783261       1.3402     --------     0.548844          1
MinModeTranslate:    2  16:50:22        4.783261       1.3402     0.100000     0.548844          1
MinModeTranslate:    3  16:50:22        4.917754       1.3402     --------    -0.738359          1
MinModeTranslate:    3  16:50:22        4.917754       1.3402     0.100000    -0.738359          1
MinModeTranslate:    4  16:50:22        5.044176       1.2378     --------    -1.294465          1
MinModeTranslate:    4  16:50:22        5.044176       1.2378     0.100000    -1.294465          1
MinModeTranslate:    5  16:50:22        5.157130       1.0813     --------    -1.652174          1
MinModeTranslate:    5  16:50:22        5.157130       1.0813     0.100000    -1.652174          1
MinModeTranslate:    6  16:50:22        5.256199       0.9478     --------    -1.525132          1
MinModeTranslate:    6  16:50:22        5.256199       0.9478     0.100000    -1.525132          1
MinModeTranslate:    7  16:50:22        5.337861       0.8359     --------    -1.762872          1
MinModeTranslate:    7  16:50:22        5.337861       0.8359     0.100000    -1.762872          1
MinModeTranslate:    8  16:50:22        5.406787       0.8906     --------    -1.136667          1
MinModeTranslate:    8  16:50:22        5.406787       0.8906     0.100000    -1.136667          1
MinModeTranslate:    9  16:50:22        5.451449       0.5022     --------    -1.217133          1
MinModeTranslate:    9  16:50:22        5.451449       0.5022     0.100000    -1.217133          1
MinModeTranslate:   10  16:50:22        5.496922       0.6281     --------    -1.411998          1
MinModeTranslate:   10  16:50:22        5.496922       0.6281     0.097523    -1.411998          1
MinModeTranslate:   11  16:50:22        5.526061       0.6013     --------    -0.762602          1
MinModeTranslate:   11  16:50:22        5.526061       0.6013     0.100000    -0.762602          1
MinModeTranslate:   12  16:50:22        5.551694       0.7148     --------    -0.592140          1
MinModeTranslate:   12  16:50:22        5.551694       0.7148     0.047583    -0.592140          1
MinModeTranslate:   13  16:50:22        5.547100       0.2324     --------    -1.035134          1
MinModeTranslate:   13  16:50:22        5.547100       0.2324     0.100000    -1.035134          1
MinModeTranslate:   14  16:50:22        5.556868       0.2341     --------    -1.024683          1
MinModeTranslate:   14  16:50:22        5.556868       0.2341     0.009603    -1.024683          1
MinModeTranslate:   15  16:50:22        5.556016       0.0467     --------    -0.897748          0
MinModeTranslate:   15  16:50:22        5.556016       0.0467     0.050656    -0.897748          0
MinModeTranslate:   16  16:50:22        5.557166       0.0175     --------    -0.891336          1
MinModeTranslate:   16  16:50:22        5.557166       0.0175     0.000686    -0.891336          1
MinModeTranslate:   17  16:50:22        5.557161       0.0003     --------    -0.900467          0
