 running on    4 total cores
 distrk:  each k-point on    4 cores,    1 groups
 distr:  one band on    1 cores,    4 groups
 using from now: INCAR     
 vasp.5.4.4.18Apr17-6-g9f103f2a35 (build Dec 28 2021 15:39:15) complex           
 POSCAR found type information on POSCAR  Pd Mo
 POSCAR found :  2 types and      13 ions
 scaLAPACK will be used
 LDA part: xc-table for Ceperly-Alder, standard interpolation
 found WAVECAR, reading the header
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 reading WAVECAR
 the WAVECAR file was read successfully
 initial charge from wavefunction
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.102293484530E+05   -0.10229E+05   -0.10433E+05   288   0.115E+03    0.521E+02
DAV:   2    -0.541131398740E+03    0.96882E+04   -0.71419E+04   268   0.593E+02    0.325E+02
DAV:   3    -0.309779009345E+03    0.23135E+03   -0.38520E+03   252   0.217E+02    0.146E+02
DAV:   4    -0.218064436828E+03    0.91715E+02   -0.51980E+02   208   0.903E+01    0.148E+02
DAV:   5    -0.177927386260E+03    0.40137E+02   -0.63066E+01   216   0.539E+01    0.122E+02
DAV:   6    -0.169872793414E+03    0.80546E+01   -0.23462E+01   208   0.182E+01    0.117E+02
DAV:   7    -0.143511476896E+03    0.26361E+02   -0.26064E+02   192   0.649E+01    0.545E+01
DAV:   8    -0.101116206300E+03    0.42395E+02   -0.47991E+01   216   0.444E+01    0.385E+01
DAV:   9    -0.930777744879E+02    0.80384E+01   -0.16424E+01   192   0.338E+01    0.335E+01
DAV:  10    -0.110526649993E+03   -0.17449E+02   -0.32585E+01   204   0.611E+01    0.563E+01
DAV:  11    -0.832155563477E+02    0.27311E+02   -0.30733E+01   228   0.288E+01    0.250E+01
DAV:  12    -0.767834367470E+02    0.64321E+01   -0.48348E+00   168   0.123E+01    0.213E+01
DAV:  13    -0.728783590585E+02    0.39051E+01   -0.12841E+00   184   0.903E+00    0.165E+01
DAV:  14    -0.700017288010E+02    0.28766E+01   -0.27445E+00   176   0.102E+01    0.119E+01
DAV:  15    -0.707135597717E+02   -0.71183E+00   -0.62314E+00   188   0.867E+00    0.191E+01
DAV:  16    -0.672121675324E+02    0.35014E+01   -0.11481E+01   200   0.101E+01    0.105E+01
DAV:  17    -0.665507968643E+02    0.66137E+00   -0.45213E-01   196   0.557E+00    0.607E+00
DAV:  18    -0.658857086001E+02    0.66509E+00   -0.66226E-01   168   0.329E+00    0.703E+00
DAV:  19    -0.651094436651E+02    0.77626E+00   -0.14439E+00   168   0.388E+00    0.612E+00
DAV:  20    -0.646096133191E+02    0.49983E+00   -0.17519E-01   184   0.185E+00    0.366E+00
DAV:  21    -0.641854539651E+02    0.42416E+00   -0.67357E-01   168   0.161E+00    0.427E+00
DAV:  22    -0.639280354581E+02    0.25742E+00   -0.21736E+00   184   0.408E+00    0.969E+00
DAV:  23    -0.634195627001E+02    0.50847E+00   -0.19791E+00   188   0.321E+00    0.542E+00
DAV:  24    -0.634075829914E+02    0.11980E-01   -0.26134E-01   168   0.122E+00    0.470E+00
DAV:  25    -0.633410086643E+02    0.66574E-01   -0.31308E-01   168   0.122E+00    0.429E+00
DAV:  26    -0.632988345717E+02    0.42174E-01   -0.15132E-01   184   0.942E-01    0.237E+00
